Booking No,Agent,Country,Tour Type,Booking Date,Amount,Status
BK000001,TUI,Italy,Adventure,2026-04-25,1243,Confirmed
BK000002,Expedia,UAE,Family,2026-01-17,344,Confirmed
BK000003,TUI,Canada,Adventure,2026-11-29,-952,Completed
BK000002,Thomas Cook,Germany,Wildlife,2026-03-23,3562,Pending
BK000005,Kuoni,UK,Leisure,0000-00-00,892,Pending
BK000006,Thomas Cook,Germany,Cultural,2026-08-24,----,Confirmed
BK000007,Thomas Cook,UAE,Wildlife,2026-07-05,4829,
BK000008,MakeMyTrip,Italy,,2026-04-30,927,Completed
BK000002,Kuoni,France,Business,2026-07-01,1816,Pending
BK000010,Booking.com,Canada,Cultural,2026-05-06,1438,Completed
BK000011,MakeMyTrip,Spain,Wildlife,2026-01-29,$500,Confirmed
BK000007,Expedia,USA,Honeymoon,2026-06-11,1841,Completed
BK000013,Cox & Kings,France,Business,2026-03-13,2120,Pending
BK000014,Trailfinders,UAE,Family,2026-07-05,1896,Cancelled
BK000015,Expedia,Germany,Wildlife,2026-02-26,1352,Cancelled
BK000016,Trailfinders,UAE,Leisure,2026-07-17,3226,Completed
BK000017,TUI,UK,Cultural,2026-10-02,2285,Pending
BK000018,Trailfinders,France,Family,N/A,2257,Cancelled
BK000019,Thomas Cook,Canada,Honeymoon,2026-04-12,1352,Pending
BK000020,TUI,UAE,Business,2026-09-08,259,Confirmed
BK000021,Thomas Cook,USA,Leisure,2026-05-04,4747,Confirmed
BK000022,Cox & Kings,UK,Wildlife,2026-09-30,1130,
BK000018,Booking.com,Italy,Honeymoon,2026-11-07,3566,Cancelled
BK000024,MakeMyTrip,Italy,Family,2026-12-10,3159,Completed
BK000025,Cox & Kings,UK,Adventure,2026-04-26,624,Pending
BK000026,MakeMyTrip,,Adventure,2026-01-04,681,Confirmed
BK000027,TUI,Spain,Leisure,2026-09-21,2049,
BK000028,Booking.com,UAE,Honeymoon,2026-08-31,2090,Completed
BK000029,MakeMyTrip,UK,Leisure,2026-12-04,3631,Pending
BK000013,Cox & Kings,Germany,Cultural,2026-12-01,906,Confirmed
BK000031,Expedia,USA,Adventure,2026-04-08,4493,Completed
BK000032,Booking.com,Italy,Family,Jan 15 2026,717,Completed
BK000033,Expedia,Germany,Cultural,2026-10-04,220,Confirmed
BK000034,MakeMyTrip,France,Family,2026-09-06,4043,Cancelled
BK000035,TUI,France,Family,2026-01-02,3298,Pending
BK000036,Cox & Kings,Italy,Family,2026-12-23,4652,Completed
BK000037,Thomas Cook,USA,Leisure,2026.01.15,4541,Confirmed
BK000038,TUI,UAE,Family,2026-09-15,abc,Cancelled
BK000039,Expedia,France,Leisure,2026-11-01,656,Cancelled
BK000038,MakeMyTrip,UAE,Honeymoon,2026-01-21,771,Completed
BK000041,Kuoni,Italy,Adventure,2026-12-09,2673,Cancelled
BK000042,Booking.com,Italy,Family,2026-06-11,-1927,Confirmed
BK000043,Expedia,UK,Honeymoon,2026-04-20,4244,Pending
BK000044,Kuoni,UK,Adventure,yesterday,2434,Cancelled
BK000045,Thomas Cook,UAE,Wildlife,2026-12-01,4433,Confirmed
BK000046,Thomas Cook,UK,Adventure,2026-05-16,1045,Confirmed
BK000047,Booking.com,Italy,Business,2026-11-06,1825,Pending
BK000048,Thomas Cook,Canada,Family,2026-05-09,-2648,Confirmed
BK000011,Thomas Cook,Germany,Leisure,2026-06-20,1171,Pending
BK000050,Trailfinders,Canada,Leisure,2026-02-27,716,Cancelled
BK000051,Kuoni,UAE,Honeymoon,2026-03-17,3620,Cancelled
BK000052,Kuoni,Germany,,2026-04-18,2144,Confirmed
BK000053,Trailfinders,UAE,Cultural,2026-03-21,2039,Cancelled
BK000054,Booking.com,Japan,Leisure,2026-04-02,2821,Completed
BK000055,MakeMyTrip,Italy,Adventure,2026-12-26,985,Completed
BK000056,Cox & Kings,USA,Adventure,2026-08-24,2964,Pending
BK000057,MakeMyTrip,USA,Leisure,2026-12-04,1682,Completed
BK000058,Expedia,Italy,Business,2026-11-25,NaN,Completed
BK000059,TUI,UK,Business,2026-04-02,abc,Pending
BK000060,Trailfinders,Spain,Cultural,2026/01/01/01,3674,Confirmed
BK000061,MakeMyTrip,Italy,Leisure,2026-12-29,3672,Confirmed
BK000062,MakeMyTrip,Spain,Family,2026-02-05,2804,Pending
BK000063,Expedia,Italy,Honeymoon,2026-06-08,3445,Pending
BK000044,Thomas Cook,Canada,Adventure,2026-04-09,3544,Completed
BK000065,Booking.com,UAE,Honeymoon,2026-06-04,3426,Confirmed
BK000066,MakeMyTrip,Japan,Wildlife,2026-10-24,null,Completed
BK000066,MakeMyTrip,Canada,Family,2026-03-28,794,Pending
BK000068,Kuoni,UK,Wildlife,2026-05-01,2642,Cancelled
BK000069,Booking.com,Germany,Leisure,2026-05-06,3992,Confirmed
BK000001,MakeMyTrip,Japan,Family,2026-07-24,2098,Cancelled
BK000071,Expedia,Japan,Adventure,2026-04-01,4343,Completed
BK000072,MakeMyTrip,UK,Family,,3906,Pending
BK000073,Trailfinders,Canada,Family,2026-03-23,3988,Completed
BK000074,MakeMyTrip,Italy,Wildlife,2026-09-24,-1174,Cancelled
BK000018,Thomas Cook,USA,Business,2026-06-21,2719,Confirmed
BK000076,Trailfinders,France,Cultural,2026/01/01/01,626,Completed
BK000077,Cox & Kings,Japan,Leisure,2026-04-16,abc,Completed
BK000078,Trailfinders,Australia,Leisure,2026-06-30,2546,Completed
BK000079,Trailfinders,Canada,Cultural,2026-10-07,1906,Completed
BK000080,Trailfinders,Australia,Leisure,2026-07-19,-726,Completed
BK000081,Booking.com,UAE,Honeymoon,2026-01-14,3327,Confirmed
BK000082,Trailfinders,France,,2026-08-25,1588,Confirmed
BK000083,MakeMyTrip,Australia,Business,2026-06-22,----,Pending
BK000084,Expedia,Australia,Leisure,2026-10-04,-968,Pending
BK000085,TUI,Germany,Adventure,2026-04-13,266,Cancelled
BK000086,Cox & Kings,UK,Honeymoon,2026-04-22,-1560,Pending
BK000087,Expedia,France,Business,2026-02-30,4840,Confirmed
BK000088,Trailfinders,Japan,Cultural,2026-04-12,722,Cancelled
BK000089,Thomas Cook,UAE,Wildlife,31-31-2026,4736,Confirmed
BK000090,Kuoni,UK,Honeymoon,2026-11-28,2895,Confirmed
BK000091,Cox & Kings,UK,Family,2026-07-05,3866,Cancelled
BK000056,Thomas Cook,UAE,Wildlife,2026-10-03,4060,Completed
BK000093,Thomas Cook,Spain,Wildlife,2026-05-06,809,Pending
BK000094,MakeMyTrip,Australia,Honeymoon,2026-11-09,3204,Pending
BK000095,Kuoni,France,,2026-04-19,3006,Pending
BK000096,Thomas Cook,Canada,Leisure,2026-09-22,-1038,Confirmed
BK000097,Cox & Kings,Canada,Wildlife,2026-05-04,4000,Completed
BK000038,TUI,UK,Business,2026-04-24,3412,Cancelled
BK000099,Kuoni,Australia,Honeymoon,2026-09-29,2916,Completed
BK000100,Kuoni,Spain,Cultural,2026-08-21,2319,Pending
BK000101,Expedia,USA,Business,2026-03-03,-834,Cancelled
BK000102,Cox & Kings,Italy,Cultural,2026-10-29,-461,Pending
BK000103,Thomas Cook,USA,Business,2026-04-02,2576,Confirmed
BK000104,Booking.com,Italy,Leisure,2026-01-28,4633,Pending
BK000105,Booking.com,Australia,Leisure,2026-01-07,4802,Pending
BK000015,Cox & Kings,Spain,Adventure,2026-01-27,2168,Completed
BK000107,Trailfinders,Australia,Leisure,2026-10-23,539,Cancelled
BK000108,Thomas Cook,UK,Adventure,,4671,Completed
BK000109,MakeMyTrip,Canada,Family,2026-08-19,3726,Pending
BK000110,Trailfinders,Italy,Honeymoon,2026-11-14,593,Confirmed
BK000111,MakeMyTrip,USA,Business,2026-12-05,765,Cancelled
BK000112,Expedia,France,Leisure,2026-07-29,-1242,Completed
BK000113,Thomas Cook,Italy,,2026-08-21,683,Cancelled
BK000114,MakeMyTrip,Japan,Leisure,2026-10-06,1941,Cancelled
BK000115,Booking.com,UK,Leisure,2026-03-26,2619,Pending
BK000057,Cox & Kings,Italy,Cultural,2026-07-26,2330,Completed
BK000117,,Japan,Cultural,2026-06-15,2151,Confirmed
BK000118,TUI,Italy,Honeymoon,2026-01-21,-2175,Completed
